id;title;overview;release_date;like
501395;The True History of the Kelly Gang;Basado en la novela de Peter Carey, cuenta la historia del ranger australiano Ned Kelly y su pandilla cuando huyen de las autoridades durante la década de 1870.;31/12/19;
479259;I Am Not a Bird;Margaret está haciendo todo lo que está a su alcance para olvidar su hogar, y la vida nocturna exótica de Tokio, repleta de bebidas, drogas y hoteles de amor de tres horas, le permite mantener sus demonios a raya. Trabajando como especialista inglesa en Air-Pro Stewardess Training Institute durante el día y perdiéndose en un olvido sexual y narcotizado por la noche, Margaret reprime recuerdos de su dolorosa infancia en Canadá y el descenso de su hermano mayor Frank a la locura. -anónimo;31/12/19;
331482;Little Women;Amy, Jo, Beth y Meg son cuatro hermanas adolescentes que se embarcan en unas vacaciones con su madre, pero sin su padre, un evangelista itinerante. A medida que atraviesan el estado de Massachusetts, sumido en plena Guerra Civil, descubren el amor y la importancia de los lazos familiares.;25/12/19;
181812;Star Wars: Episodio IX - El Ascenso de Skywalker;"La próxima entrega de la franquicia y la conclusión de la secuela de la trilogía ""Star Wars"", así como la ""Saga Skywalker"".";18/12/19;
477018;Les Traducteurs;El editor de un escritor de bestsellers introduce a nueve traductores en un búnker de lujo con el fin de que traduzcan en tiempo récord su última novela y evitando cualquier fuga. A pesar de esta precaución, las diez primeras páginas han sido publicadas. ¿Quién lo hizo?;18/12/19;
508256;Silver Surfer;Norrin Radd es un científico que, de forma inesperada, se transforma en un ser plateado, conocido como SIlver Surfer, que se desplaza volando en una tabla de surf. Norrin se entera de que el malvado Galactus planea acabar con la Tierra, por lo que se dispone a protegerla. Sin embargo, la única forma de conseguirlo es explorando otros mundos y permitiendo que el villano se alimente de ellos;12/12/19;
398978;El irlandés;"Biopic sobre Frank Sheeran, apodado ""el irlandés"", al que se le atribuyen más de 25 asesinatos relacionados con la mafia... Adaptación del libro ""I Heard You Paint Houses"", de Charles Brandt, a cargo del guionista Steven Zaillian (La lista de Schindler, American Gangster).";28/11/19;
330457;Frozen 2;"¿Por qué nació Elsa con poderes mágicos? La respuesta le está llamando y amenaza su reino. Junto con Anna, Kristoff, Olaf y Sven emprenderá un viaje peligroso e inolvidable. En 'Frozen', Elsa temía que sus poderes fueran demasiado para el mundo. En 'Frozen 2', deseará que sean suficientes. Secuela de ""Frozen. El reino del hielo"" (2013), el film de animación más taquillero de la historia del cine, ganador del Oscar a la mejor película animada. Reunirá al mismo equipo artístico y técnico de la original.";21/11/19;
466622;The Rhythm Section;Stephanie Patrick ha perdido a toda su familia en un accidente de avión. Muy afectada por los sucesos comienza a investigar el siniestro y descubre que no fue algo accidental. Para llegar al fondo del asunto, Stephanie decide adoptar la identidad de un asesino y así encontrar a los causantes de su desgracia.;1/11/19;
416153;Arctic Justice: Thunder Squad;Swifty, el zorro ártico, trabaja en la sala de correos del Arctic Blast Delivery Service, pero sueña con convertirse algún día en un Top Dog (los mensajeros husky estrella del Ártico). Para probarse a sí mismo digno del papel de Top Dog, Swifty secretamente toma uno de los trineos y entrega un paquete misterioso a un lugar misterioso. Se topa con una fortaleza secreta donde se encuentra cara a cara con Doc Walrus, un genio malvado que camina con piernas mecánicas y comanda un leal ejército de esbirros frailecillos. Swifty pronto descubre el plan de Doc Walrus para derretir los casquetes polares e inundar el mundo con el fin de reinar como líder supremo. Ahora, Swifty tiene que contar con la ayuda de sus amigos: PB, un oso polar introvertido, Lemmy, un albatros atolondrado, Sal y Weez, dos nutrias teóricas de la conspiración y Jade Fox, un mecánico duro como las uñas.;1/11/19;
504562;Motherless Brooklyn;Nueva York. Años 50. Lionel Essrog es un solitario detective privado, afectado por el Síndrome de Tourette, que se aventura a resolver el asesinato de su mentor y único amigo, Frank Minna.;31/10/19;
501170;Doctor Sueño;"Secuela del film de culto ""El resplandor"" (1980) dirigido por Stanley Kubrick y también basado en una famosa novela de Stephen King. La historia transcurre algunos años después de los acontecimientos de ""The Shining"", y sigue a Danny Torrance (Ewan McGregor), traumatizado y con problemas de ira y alcoholismo que hacen eco de los problemas de su padre Jack, que cuando sus habilidades psíquicas resurgen, se contacta con una niña de nombre Abra Stone, a quien debe rescatar de un grupo de viajeros que se alimentan de los niños que poseen el don de ""el resplandor"".";30/10/19;
378112;Día de muertos;En un pueblo muy especial, donde la leyenda del Día de Muertos surgió, yace un secreto ancestral que está a punto de ser revelado por una valiente joven, cambiando la vida tal y como la conocemos.;24/10/19;
338967;Zombieland: Double Tap;"En esta secuela y empleando el característico sentido del humor del que hizo gala ""Zombieland"", el grupo de protagonistas tendrá que viajar desde la Casa Blanca hasta el corazón de los Estados Unidos, sobreviviendo a nuevas clases de muertos vivientes que han evolucionado desde lo sucedido hace algunos años, así como a algunos supervivientes humanos rezagados. Pero, por encima de todo, tendrán que tratar de soportar los inconvenientes de convivir entre ellos.";18/10/19;
515001;Jojo Rabbit;Esta sátira trata sobre un niño alemán, Jojo, (Roman Griffin Davis) que vive con su madre soltera (Scarlett Johansson) y pertenece al ejército jóven de Hitler durante la Segunda Guerra Mundial. Su único amigo es el Adolf Hitler imaginario (Taika Waititi), pero tiene que interrogar a su propio nacionalismo ingenuo cuando conoce a una niña (Thomasin McKenzie) que le forza a enfrentar a sus mayores miedos.;18/10/19;
420809;Maléfica: Maestra del mal;Una aventura de fantasía que comienza varios años después de Maléfica, en la que el público se enteró de los acontecimientos que endurecieron el corazón del villano más famoso de Disney y la llevó a maldecir a una princesa Aurora, Maléfica: la amante del mal continúa explorando la compleja relación entre La hada cornuda (Angelina Jolie) y la que pronto será la reina (Elle Fanning), ya que forman nuevas alianzas y se enfrentan a nuevos adversarios en su lucha por proteger a los moros y las criaturas mágicas que residen en su interior.;16/10/19;1
418879;The Current War;Alfonso Gómez-Rejón (Yo, él y Raquel) es el encargado de dirigir esta película basada en hechos reales sobre la feroz competencia que mantuvieron los inventores Thomas Edison y George Westinghouse con respecto a la comercialización de la bombilla eléctrica durante el siglo XIX.;4/10/19;
475557;Joker;Situada en los años 80'. Un cómico fallido es arrastrado a la locura, convirtiendo su vida en una vorágine de caos y delincuencia que poco a poco lo llevará a ser el psicópata criminal más famoso de Gotham.;3/10/19;1
453405;Géminis;Un asesino a sueldo, demasiado mayor, decide retirarse. Pero esto no le va a resultar tan fácil, pues tendrá que enfrentarse a un clon suyo, mucho más joven.;2/10/19;
542921;Mientras dure la guerra;España. Verano de 1936. El célebre escritor Miguel de Unamuno decide apoyar públicamente la sublevación militar que promete traer orden a la convulsa situación del país. Inmediatamente es destituido por el gobierno republicano como rector de la Universidad de Salamanca. Mientras, el general Franco consigue sumar sus tropas al frente sublevado e inicia una exitosa campaña con la secreta esperanza de hacerse con el mando único de la guerra. La deriva sangrienta del conflicto y el encarcelamiento de algunos de sus compañeros hacen que Unamuno empiece a cuestionar su postura inicial y a sopesar sus principios. Cuando Franco traslada su cuartel a Salamanca y es nombrado Jefe del Estado de la zona nacional, Unamuno acudirá a su Palacio, decidido a hacerle una petición...;27/9/19;
446159;Bacurau;Un cineasta decide viajar a un pueblo en el interior de Brasil para hacer un documental. A medida que pasan los días, comienza a descubrir que los lugareños no son exactamente lo que parecen ser y esconden secretos peligrosos.;25/9/19;
555974;The Boy 2;Una familia joven que desconoce la oscura historia, se muda a la Mansión Heelshire. La premisa seguirá la historia del hijo menor que encuentra la muñeca de porcelana y se hace amigo de Brahms.;13/9/19;
429422;Fonzo;Tras pasar 10 años en prisión, el gánster Al Capone, de 47 años, comienza a sufrir de demencia y su mente comienza a ser acosada por los recuerdos de su violento pasado.;12/9/19;
