id;title;like;vote_average
5;Four Rooms;;6.5
11;La guerra de las galaxias. Episodio IV: Una nueva esperanza;1;8.1
12;Buscando a Nemo;1;7.6
13;Forrest Gump;1;8.2
14;American Beauty;;
16;Bailar en la oscuridad;;7.6
18;El quinto elemento;;7.3
19;Metrópolis;;8.0
20;Mi vida sin mí;;7.2
22;Piratas del Caribe. La maldición de la Perla Negra;1;7.5
24;Kill Bill: Volumen 1;1;7.7
25;Jarhead, el infierno espera;;
28;Apocalypse Now;;8.0
33;Sin perdón;;7.7
35;Los Simpson: La película;1;6.9
38;¡Olvídate de mí!;;7.9
55;Amores perros;;
58;Piratas del Caribe: El cofre del hombre muerto;1;7.0
59;Una historia de violencia;;6.9
62;2001: Una odisea del espacio;1;7.9
65;8 millas;1;
66;Poder absoluto;;6.4
68;Brazil;;7.5
69;En la cuerda floja;;7.3
70;Million Dollar Baby;1;7.7
71;Billy Elliot (Quiero bailar);1;7.4
73;American History X;1;8.2
74;La guerra de los mundos;0;6.2
75;Mars attacks!;;6.1
76;;;7.7
77;Memento;1;8.1
78;Blade Runner;1;7.9
79;Hero;;7.2
80;Antes del atardecer;;
83;Open Water;;5.4
85;Indiana Jones: En busca del arca perdida;1;7.7
87;Indiana Jones y el templo maldito;1;7.1
89;Indiana Jones y la última cruzada;1;7.6
90;;;6.8
95;Armageddon;0;6.4
96;Superdetective en Hollywood II;0;6.1
98;Gladiator (El Gladiador);1;7.9
100;Lock & Stock;;7.5
103;Taxi driver;;8.0
104;Corre Lola, corre;;
105;Regreso al Futuro;1;8.0
106;Depredador;;7.3
107;Snatch: Cerdos y diamantes;;7.7
111;El precio del poder;;8.0
114;Pretty Woman;;7.0
115;El gran Lebowski;1;7.8
116;Match Point;;7.3
117;Los intocables de Eliot Ness;;7.6
118;Charlie y la fábrica de chocolate;1;6.7
120;El señor de los anillos: La comunidad del anillo;1;8.0
121;El señor de los anillos: Las dos torres;1;8.0
122;El señor de los anillos: El retorno del Rey;1;8.1
128;La princesa Mononoke;1;8.2
129;El viaje de Chihiro;1;8.3
134;O Brother!;;7.3
137;Atrapado en el tiempo;;7.4
141;Donnie Darko;1;7.7
142;Brokeback Mountain (En terreno vedado);;7.5
146;Tigre y dragón;;7.2
149;Akira;;7.8
152;Star Trek: La película;;6.2
153;Lost in Translation;;7.3
154;Star Trek II: La ira de Khan;;7.3
155;El Caballero Oscuro;1;8.2
157;Star Trek III: En busca de Spock;;6.4
161;Ocean's Eleven. Hagan juego;1;7.2
162;Eduardo Manostijeras;;7.5
163;Ocean's Twelve;1;6.4
165;Regreso al Futuro II;1;7.4
167;K-PAX: Un universo aparte;;
168;Star Trek IV: Misión salvar la Tierra;;6.9
169;Depredador 2;;5.9
170;28 días después;;7.1
172;Star Trek V: La última frontera;;5.6
173;20.000 leguas de viaje submarino;;6.8
174;Star Trek VI: Aquel país desconocido;;6.7
176;Saw;1;7.2
177;El rey pescador;;7.2
179;La intérprete;;6.2
180;Minority Report;1;7.1
182;El buen alemán;;5.9
184;Jackie Brown;;7.3
186;El caso Slevin;;7.4
187;Sin City, Ciudad del pecado;0;7.2
189;Sin City: Una dama por la que matar;0;6.3
193;Star Trek VII: La próxima generación;;6.4
194;Amelie;1;
196;Regreso al Futuro III;1;7.1
197;Braveheart;1;7.7
199;Star Trek VIII: Primer contacto;;7.0
200;Star Trek IX: Insurrección;;6.3
201;Star Trek X: Némesis;;6.1
203;Malas calles;;7.2
205;Hotel Rwanda;;7.5
207;El club de los poetas muertos;;8.1
214;Saw III;0;6.1
215;Saw II;1;6.3
217;Indiana Jones y el reino de la calavera de cristal;1;5.7
218;Terminator;1;7.3
219;Volver;;7.3
223;Rebeca;;7.7
226;Boys Don't Cry;;7.2
227;Rebeldes;;6.9
231;Syriana;;6.3
235;Cuenta conmigo;;7.8
238;El Padrino;1;
239;Con faldas y a lo loco;;
240;El Padrino. Parte II;1;8.3
242;El Padrino. Parte III;1;7.1
243;Alta fidelidad;;7.0
245;Un niño grande;;6.6
248;Un gángster para un milagro;;7.3
251;Ghost (Más allá del amor);;6.9
252;Un mundo de fantasía;;7.4
